PolicyName	Path	Type
AWSApplicationAutoscalingRDSClusterPolicy	/aws-service-role/	AWS managed
AWSApplicationAutoscalingSageMakerEndpointPolicy	/aws-service-role/	AWS managed
AWSApplicationDiscoveryAgentAccess	/	AWS managed
AWSApplicationDiscoveryServiceFullAccess	/	AWS managed
AWSAppMeshEnvoyAccess	/	AWS managed
AWSAppMeshFullAccess	/	AWS managed
AWSAppMeshPreviewEnvoyAccess	/	AWS managed
AWSAppMeshPreviewServiceRolePolicy	/aws-service-role/	AWS managed
AWSAppMeshReadOnly	/	AWS managed
AWSAppMeshServiceRolePolicy	/aws-service-role/	AWS managed
AWSAppSyncAdministrator	/	AWS managed
AWSAppSyncInvokeFullAccess	/	AWS managed
AWSAppSyncPushToCloudWatchLogs	/service-role/	AWS managed
AWSAppSyncSchemaAuthor	/	AWS managed
AWSAppSyncServiceRolePolicy	/aws-service-role/	AWS managed
AWSArtifactAccountSync	/service-role/	AWS managed
AWSAutoScalingPlansEC2AutoScalingPolicy	/aws-service-role/	AWS managed
AWSB9InternalServicePolicy	/	AWS managed
AWSBackupFullAccess	/	AWS managed
AWSBackupOperatorAccess	/	AWS managed
AWSBackupServiceRolePolicyForBackup	/service-role/	AWS managed
AWSBackupServiceRolePolicyForRestores	/service-role/	AWS managed
AWSBatchFullAccess	/	AWS managed
AWSBatchServiceEventTargetRole	/service-role/	AWS managed
AWSBatchServiceRole	/service-role/	AWS managed
AWSCertificateManagerFullAccess	/	AWS managed
AWSCertificateManagerPrivateCAAuditor	/	AWS managed
AWSCertificateManagerPrivateCAFullAccess	/	AWS managed
AWSCertificateManagerPrivateCAPrivilegedUser	/	AWS managed
AWSCertificateManagerPrivateCAReadOnly	/	AWS managed
AWSCertificateManagerPrivateCAUser	/	AWS managed
AWSCertificateManagerReadOnly	/	AWS managed
AWSChatbotServiceLinkedRolePolicy	/aws-service-role/	AWS managed
AWSCloud9Administrator	/	AWS managed
AWSCloud9EnvironmentMember	/	AWS managed
AWSCloud9ServiceRolePolicy	/aws-service-role/	AWS managed
AWSCloud9User	/	AWS managed
AWSCloudFormationFullAccess	/	AWS managed
AWSCloudFormationReadOnlyAccess	/	AWS managed
AWSCloudFrontLogger	/aws-service-role/	AWS managed
AWSCloudHSMFullAccess	/	AWS managed
AWSCloudHSMReadOnlyAccess	/	AWS managed
AWSCloudHSMRole	/service-role/	AWS managed
AWSCloudMapDiscoverInstanceAccess	/	AWS managed
AWSCloudMapFullAccess	/	AWS managed
AWSCloudMapReadOnlyAccess	/	AWS managed
AWSCloudMapRegisterInstanceAccess	/	AWS managed
AWSCloudTrailFullAccess	/	AWS managed
AWSCloudTrailReadOnlyAccess	/	AWS managed
AWSCodeBuildAdminAccess	/	AWS managed
AWSCodeBuildDeveloperAccess	/	AWS managed
AWSCodeBuildReadOnlyAccess	/	AWS managed
AWSCodeCommitFullAccess	/	AWS managed
AWSCodeCommitPowerUser	/	AWS managed
AWSCodeCommitReadOnly	/	AWS managed
AWSCodeDeployDeployerAccess	/	AWS managed
AWSCodeDeployFullAccess	/	AWS managed
AWSCodeDeployReadOnlyAccess	/	AWS managed
AWSCodeDeployRole	/service-role/	AWS managed
AWSCodeDeployRoleForECS	/	AWS managed
AWSCodeDeployRoleForECSLimited	/	AWS managed
AWSCodeDeployRoleForLambda	/service-role/	AWS managed
AWSCodePipelineApproverAccess	/	AWS managed
AWSCodePipelineCustomActionAccess	/	AWS managed
AWSCodePipelineFullAccess	/	AWS managed
AWSCodePipelineReadOnlyAccess	/	AWS managed
AWSCodeStarFullAccess	/	AWS managed
AWSCodeStarNotificationsServiceRolePolicy	/aws-service-role/	AWS managed
AWSCodeStarServiceRole	/service-role/	AWS managed
AWSConfigMultiAccountSetupPolicy	/aws-service-role/	AWS managed
AWSConfigRemediationServiceRolePolicy	/aws-service-role/	AWS managed
AWSConfigRole	/service-role/	AWS managed
AWSConfigRoleForOrganizations	/service-role/	AWS managed
AWSConfigRulesExecutionRole	/service-role/	AWS managed
AWSConfigServiceRolePolicy	/aws-service-role/	AWS managed
AWSConfigUserAccess	/	AWS managed
AWSConnector	/	AWS managed
AWSControlTowerServiceRolePolicy	/service-role/	AWS managed
AWSDataExchangeFullAccess	/	AWS managed
AWSDataExchangeProviderFullAccess	/	AWS managed
AWSDataExchangeReadOnly	/	AWS managed
AWSDataExchangeSubscriberFullAccess	/	AWS managed
AWSDataLifecycleManagerServiceRole	/service-role/	AWS managed
AWSDataPipeline_FullAccess	/	AWS managed
AWSDataPipeline_PowerUser	/	AWS managed
AWSDataPipelineRole	/service-role/	AWS managed
AWSDataSyncFullAccess	/	AWS managed
AWSDataSyncReadOnlyAccess	/	AWS managed
AWSDeepLensLambdaFunctionAccessPolicy	/	AWS managed
AWSDeepLensServiceRolePolicy	/service-role/	AWS managed
AWSDeepRacerCloudFormationAccessPolicy	/	AWS managed
AWSDeepRacerRoboMakerAccessPolicy	/	AWS managed
AWSDeepRacerServiceRolePolicy	/service-role/	AWS managed
AWSDenyAll	/	AWS managed
AWSDeviceFarmFullAccess	/	AWS managed
AWSDirectConnectFullAccess	/	AWS managed
AWSDirectConnectReadOnlyAccess	/	AWS managed
AWSDirectoryServiceFullAccess	/	AWS managed
